Tenure,MonthlyCharges,TotalCharges,ContractType,SupportCalls,Churn
60,43.07,2598.93,0,3,0
2,37.65,82.08,1,2,0
1,42.05,49.65,2,2,0
48,38.64,1900.1,1,3,0
12,97.96,1184.27,1,2,0
69,55.01,3788.27,0,2,0
37,25.78,905.14,0,0,0
32,116.91,3736.99,1,2,0
9,108.38,1008.06,0,1,0
19,112.78,2140.45,0,2,1
48,119.49,5679.56,0,2,0
3,37.39,99.71,0,2,0
20,59.62,1217.3,0,2,1
24,95.82,2313.42,2,2,1
54,89.6,4817.51,0,2,1
33,35.39,1153.72,1,1,0
24,101.58,2427.73,0,2,1
36,42.44,1511.42,1,4,0
38,42.38,1559.77,0,0,0
25,73.7,1861.53,2,0,0
18,79.29,1458.72,2,1,0
66,78.01,5110.61,0,0,0
54,29.15,1605.13,2,3,0
35,107.75,3768.54,2,0,0
61,46.56,2870.79,2,0,0
41,32.95,1351.96,2,3,1
33,108.87,3596.26,0,1,1
68,115.57,7867.74,1,2,0
33,106.21,3485.27,0,0,1
14,100.95,1443.19,0,0,0
21,85.52,1767.97,2,2,0
48,75.09,3594.06,0,0,1
20,28.7,587.08,1,0,0
8,60.85,474.03,2,2,0
7,57.27,420.32,2,2,0
67,45.98,3114.75,2,2,0
17,92.34,1595.13,0,3,1
33,69.59,2247.99,0,2,0
48,28.1,1352.17,0,3,0
59,42.02,2504.8,0,2,0
22,88.33,1910.25,0,1,0
30,27.61,846.48,0,3,0
38,105.12,4011.27,1,1,0
51,69.51,3514.95,1,1,0
54,68.06,3696.02,0,0,0
8,79.24,640.74,1,1,0
27,102.47,2782.9,0,1,1
27,54.78,1454.93,0,3,1
21,87.8,1847.59,1,0,1
30,76.57,2254.57,1,1,0
28,46.7,1250.75,1,1,0
64,107.86,6906.75,0,1,0
69,99.74,6909.75,2,1,0
61,85.85,5242.88,1,1,0
48,105.06,5041.21,1,0,0
19,106.73,2023.17,1,1,0
4,90.84,339.78,2,2,0
35,103.7,3624.0,1,2,1
64,89.75,5754.36,1,0,0
49,88.01,4301.81,2,1,0
17,81.86,1410.4,1,6,0
44,95.27,4196.85,0,1,0
30,35.86,1083.74,1,1,0
46,108.09,4994.22,0,1,0
6,107.18,629.94,0,1,1
37,22.92,864.7,1,1,0
24,102.58,2452.3,2,3,0
46,32.89,1521.29,2,1,0
53,53.51,2819.99,0,1,1
60,94.35,5638.28,0,0,1
63,36.08,2275.08,0,3,0
32,101.8,3210.36,2,0,1
33,103.21,3398.64,2,0,1
67,70.75,4699.87,1,2,1
18,20.64,390.98,2,1,0
25,48.7,1243.85,1,3,0
54,81.69,4389.81,1,1,0
58,118.12,6861.59,0,0,1
67,83.18,5595.63,0,5,0
46,45.98,2137.66,1,1,0
24,83.4,2006.97,1,2,0
32,74.0,2386.31,0,2,0
47,97.98,4589.04,2,0,0
23,30.7,708.13,0,0,1
66,96.1,6331.11,0,1,1
27,74.13,1983.08,1,3,0
2,116.3,233.5,1,1,1
17,54.19,929.87,1,2,0
33,83.26,2776.74,0,0,0
9,113.2,1025.45,0,2,0
43,30.25,1316.84,1,0,0
48,113.72,5475.03,1,1,0
39,88.79,3529.94,0,0,1
42,26.78,1079.66,1,1,0
26,50.1,1285.31,0,1,0
50,90.82,4577.71,1,0,0
25,26.74,659.58,2,1,1
24,78.22,1899.35,0,1,0
13,54.59,715.4,0,1,0
60,82.09,4978.12,1,2,0
7,24.57,144.19,1,1,0
57,107.15,6138.3,1,3,0
36,117.35,4268.3,2,1,1
45,116.89,5234.59,2,0,0
20,94.97,1918.88,2,2,1
65,33.01,2121.42,0,3,0
8,95.83,767.36,0,2,1
16,22.46,352.92,0,1,1
14,22.21,250.9,0,1,0
15,52.36,796.02,1,2,0
66,68.86,4548.63,0,2,0
32,97.04,3142.28,2,2,0
63,88.33,5580.04,1,2,0
51,64.59,3351.38,1,2,0
25,47.36,1186.74,0,6,1
58,119.71,6940.68,0,0,0
63,62.62,3940.33,0,2,0
62,65.14,4027.61,0,2,1
22,36.36,744.78,0,0,1
58,99.48,5764.39,1,2,0
58,89.37,5131.66,2,1,1
49,42.08,2073.07,2,1,0
52,28.24,1437.38,1,4,0
42,88.05,3675.74,0,3,0
70,85.45,5964.84,2,1,1
15,47.33,704.77,2,0,0
54,115.09,6214.83,0,0,1
60,35.11,2133.46,1,0,0
8,63.23,491.43,0,2,0
53,114.36,6073.17,2,2,0
60,61.97,3786.64,2,5,0
5,83.85,428.7,0,1,1
68,59.76,4059.13,2,0,0
6,47.42,265.05,1,1,0
47,118.4,5559.84,2,2,0
55,60.93,3329.18,0,1,0
40,109.41,4383.11,2,3,0
52,43.0,2238.35,0,2,0
16,41.31,606.91,0,1,0
13,23.11,300.01,0,3,0
30,85.17,2581.9,2,0,0
19,56.85,1070.22,2,0,0
17,106.44,1793.09,2,1,0
63,67.32,4206.78,2,4,0
19,116.82,2173.12,0,2,1
58,38.55,2256.83,0,0,0
55,106.86,5872.89,0,1,0
62,97.66,6074.2,0,1,0
23,97.09,2271.4,0,2,0
9,104.48,963.34,0,3,0
12,96.1,1139.67,0,3,1
1,82.62,86.24,0,3,1
58,33.12,1905.85,0,1,0
1,23.25,5.55,0,1,0
34,112.08,3819.45,2,1,0
48,81.67,3899.11,1,0,0
1,99.65,44.42,2,2,0
16,68.15,1068.23,0,1,0
61,31.73,1927.91,0,3,0
64,32.52,2119.22,1,2,0
63,88.56,5566.79,0,1,1
69,63.03,4361.91,0,1,0
22,40.05,876.95,0,2,1
67,69.16,4664.34,0,0,0
26,26.42,715.87,0,3,1
16,78.2,1280.56,0,1,0
51,46.9,2348.52,1,0,0
57,99.76,5691.25,0,0,0
29,51.04,1499.02,0,1,0
69,65.52,4530.56,2,0,0
47,21.16,1010.53,0,2,0
62,27.24,1690.63,0,1,1
69,59.25,4069.59,2,0,0
16,67.99,1045.47,0,0,0
48,80.0,3823.96,0,1,0
39,49.17,1984.44,0,0,0
33,89.5,2941.3,0,2,1
23,106.01,2389.3,1,1,0
10,97.99,998.17,2,2,1
69,23.96,1674.76,0,1,0
34,68.05,2345.91,1,0,0
52,30.49,1597.41,0,1,0
10,44.2,463.19,0,6,0
19,118.67,2300.66,1,2,0
58,34.25,1967.84,0,1,0
1,69.89,46.29,0,2,0
69,81.82,5617.91,0,3,0
4,90.25,354.34,0,1,1
16,75.96,1251.27,0,3,1
24,20.98,516.65,2,0,0
2,52.65,117.51,0,2,0
32,71.77,2251.19,0,0,0
24,28.79,673.55,0,3,0
12,55.06,614.86,1,2,0
50,23.32,1195.3,1,4,0
35,27.86,1014.67,1,1,0
33,59.69,1989.34,1,3,0
33,33.27,1073.29,2,0,1
61,76.75,4719.05,0,2,0
51,88.95,4529.94,0,1,1
43,100.06,4272.16,2,1,0
12,40.02,456.07,2,0,0
67,36.75,2451.38,2,1,0
65,30.46,1980.93,0,0,0
33,83.64,2756.19,0,0,1
40,90.65,3590.59,0,2,0
43,23.16,1026.15,1,0,0
44,113.62,4995.57,0,0,1
29,25.2,712.87,0,3,0
13,74.13,991.44,2,2,0
12,90.91,1061.29,0,1,0
46,107.1,4885.74,2,4,0
2,91.41,214.63,0,2,1
35,100.17,3553.33,0,3,0
8,53.95,420.01,0,2,1
26,101.48,2637.4,1,1,0
34,28.01,923.72,0,2,0
7,109.48,766.51,0,3,0
68,74.76,5071.74,2,2,1
58,101.73,5897.77,0,1,1
29,65.23,1901.95,1,2,0
36,84.36,3009.43,1,2,0
21,72.64,1516.4,0,1,0
36,93.16,3308.63,1,1,0
10,28.16,272.76,0,0,0
24,26.04,622.51,1,1,0
64,44.71,2867.19,0,0,1
49,35.95,1767.76,1,2,0
36,107.18,3881.02,0,2,1
24,41.92,967.62,1,2,0
23,117.59,2667.33,0,0,0
62,53.69,3341.98,0,2,0
37,38.21,1362.86,0,2,0
12,98.97,1192.22,0,3,0
55,85.87,4693.39,2,3,0
13,69.82,946.97,0,3,1
23,75.54,1743.6,2,2,0
30,91.92,2752.13,2,2,1
17,42.85,759.07,1,0,0
62,119.63,7390.69,0,2,1
13,117.48,1505.4,0,2,1
59,85.03,4985.39,1,2,0
19,39.95,737.5,0,0,0
49,88.02,4314.65,0,0,0
12,27.22,338.99,1,2,0
61,23.07,1431.02,2,1,0
19,45.77,823.98,1,2,0
9,66.26,592.06,0,2,0
71,106.83,7557.03,1,4,0
28,92.72,2590.94,0,0,1
52,94.27,4960.43,0,1,0
16,62.55,1008.09,2,0,0
69,54.59,3789.44,0,0,0
12,57.1,734.26,0,0,0
25,118.76,2997.31,0,1,1
52,24.01,1237.37,2,2,0
53,106.7,5623.37,1,0,1
23,77.87,1790.2,1,1,0
16,63.86,1007.59,1,3,0
57,92.53,5235.86,0,1,1
39,68.67,2684.03,0,3,1
53,107.34,5695.79,0,3,1
42,110.07,4667.18,0,2,0
58,62.17,3596.94,0,1,0
39,47.68,1866.63,2,1,0
14,79.24,1092.65,0,1,0
5,111.24,578.01,0,1,1
35,41.07,1434.2,0,0,0
18,82.3,1452.03,0,2,1
9,83.16,748.07,2,1,1
58,93.31,5421.82,0,3,0
17,33.16,570.05,0,2,1
7,91.58,667.22,1,2,1
46,110.9,5065.35,0,0,0
13,37.97,472.52,0,2,0
40,43.75,1766.17,0,1,0
42,117.14,4901.73,1,3,0
9,38.1,348.89,2,2,1
50,105.44,5211.43,1,0,0
27,69.23,1937.05,0,4,0
66,44.72,2944.98,2,2,0
5,107.07,565.22,0,3,0
29,64.53,1862.96,0,0,0
37,71.48,2655.19,0,1,0
38,55.92,2162.38,0,2,0
8,79.3,663.51,0,2,0
65,36.35,2357.79,1,1,0
17,59.11,1001.46,2,1,0
71,116.94,8327.92,0,1,1
45,45.81,2119.93,0,2,0
4,85.67,347.5,0,3,1
36,52.52,1939.61,0,3,0
70,97.35,6808.28,1,1,0
31,33.09,1049.51,0,1,0
19,116.98,2250.19,2,1,0
61,65.38,3977.87,0,3,0
54,43.61,2336.0,0,3,0
39,27.35,1095.27,0,2,1
19,36.98,689.25,0,1,1
39,71.98,2784.76,0,0,0
67,53.7,3580.82,1,1,0
45,102.89,4616.58,0,1,1
13,63.09,841.57,1,1,0
58,44.87,2615.42,0,2,0
20,81.71,1652.18,0,3,1
61,90.68,5541.88,0,3,0
39,36.7,1416.62,2,1,0
1,36.76,54.19,0,2,0
3,23.67,100.56,1,1,0
62,93.64,5820.31,0,2,0
63,86.38,5453.21,1,0,0
25,67.46,1667.4,0,1,0
56,104.42,5852.65,1,0,0
33,100.57,3298.21,1,1,0
38,78.54,2983.75,2,1,0
6,106.83,599.96,0,1,0
58,40.58,2313.07,0,0,0
44,31.19,1367.67,0,2,0
45,46.97,2100.16,2,1,0
32,25.71,825.35,0,3,0
45,73.12,3286.89,1,0,0
61,113.66,6934.05,0,1,0
47,23.93,1140.13,0,4,1
21,32.21,664.85,0,1,0
36,65.22,2342.43,2,0,0
19,113.39,2190.74,1,1,0
20,51.62,1032.39,2,1,0
57,70.72,4026.76,0,2,0
18,24.16,436.89,1,2,0
47,34.83,1633.18,1,3,0
49,118.66,5796.75,0,3,0
14,116.51,1606.22,2,2,0
15,20.49,288.32,2,1,0
31,115.18,3592.44,2,3,0
1,83.91,68.16,1,1,0
54,106.79,5762.89,0,1,0
3,65.47,213.94,0,1,1
16,71.56,1137.99,2,1,0
57,68.88,3942.26,0,1,0
12,86.69,1001.72,1,0,0
16,33.97,540.13,1,3,0
24,23.0,553.91,1,3,0
28,50.79,1422.78,2,3,0
8,90.47,682.42,0,2,1
36,40.19,1476.75,0,1,0
8,87.34,677.38,0,1,1
58,116.99,6793.87,0,1,0
60,29.39,1763.6,0,2,0
50,87.26,4388.1,0,0,0
28,64.38,1857.19,2,0,0
41,106.81,4347.12,2,2,0
64,37.71,2397.54,0,0,0
27,89.26,2414.82,0,4,1
63,103.81,6512.49,2,0,0
17,114.46,1965.4,0,0,0
33,88.32,2935.8,0,1,1
29,69.72,2035.79,0,1,0
13,81.78,1069.12,1,4,0
46,106.89,4951.21,0,1,1
35,77.06,2668.24,2,1,0
6,23.04,139.86,0,2,0
69,113.09,7785.08,0,1,0
47,88.95,4203.02,0,5,1
25,87.65,2145.45,0,3,1
66,41.57,2742.75,1,4,0
10,85.89,867.27,1,2,0
56,59.39,3301.95,1,1,0
30,85.12,2538.04,1,1,1
5,30.66,153.68,2,2,0
33,85.78,2854.77,2,1,0
65,119.94,7770.37,1,2,0
18,24.82,425.32,0,2,0
49,117.72,5796.29,0,1,1
11,60.69,660.77,0,1,0
26,107.08,2764.52,1,1,1
63,98.24,6207.25,0,3,0
59,76.7,4513.19,0,1,0
27,93.84,2559.5,2,2,0
49,107.85,5268.13,2,3,0
33,60.41,1989.67,2,1,0
1,52.7,76.33,0,0,0
21,86.76,1816.29,1,3,0
55,100.78,5562.05,0,2,1
6,96.23,575.73,0,1,1
69,99.78,6934.46,0,2,0
5,63.56,357.01,0,0,1
3,101.78,272.15,0,0,0
53,32.02,1710.16,2,0,0
23,74.45,1691.91,0,2,0
53,20.58,1095.31,1,0,0
37,52.46,1942.68,0,2,0
17,56.65,936.6,0,1,0
1,59.62,86.08,0,1,1
51,89.55,4571.97,0,3,1
45,58.86,2641.39,1,1,0
4,64.87,248.52,0,1,0
62,43.75,2716.27,0,0,0
65,57.33,3736.33,0,4,0
32,42.73,1364.14,0,0,1
34,27.32,858.05,2,4,0
39,80.34,3133.87,0,1,0
26,86.82,2221.32,1,2,1
34,81.95,2781.03,1,1,0
54,66.35,3547.75,2,1,1
3,57.98,138.52,2,1,0
50,106.33,5347.55,1,1,0
12,71.91,854.9,1,1,0
65,67.92,4404.77,2,1,0
54,22.56,1230.53,0,0,0
5,54.12,261.36,0,3,0
57,58.02,3359.71,0,1,0
17,59.88,1011.17,2,0,0
47,78.02,3675.94,2,3,0
23,73.36,1711.56,0,1,1
14,80.79,1171.12,1,2,0
66,96.49,6349.68,0,1,1
51,101.3,5155.78,0,2,1
38,91.81,3520.73,2,1,0
64,115.55,7415.6,0,2,0
38,21.82,856.16,0,4,1
50,39.58,1944.67,1,0,0
30,20.76,661.39,1,1,0
51,84.75,4303.09,0,0,0
63,109.8,6922.4,1,0,0
52,44.35,2302.4,0,2,0
38,112.7,4260.77,0,0,1
30,26.03,745.49,0,1,0
51,113.44,5742.03,1,0,0
5,55.16,278.79,0,0,1
29,30.14,835.99,2,3,0
4,68.59,246.0,2,3,0
10,45.68,451.33,2,1,0
56,48.49,2649.32,0,3,0
17,50.73,881.87,2,1,0
17,100.3,1644.9,0,5,1
69,73.92,5098.28,0,1,0
34,51.13,1738.82,0,3,1
6,81.03,499.65,0,1,1
53,91.62,4854.56,1,2,0
66,47.26,3169.77,0,1,0
43,61.35,2643.67,0,2,0
23,32.19,766.68,1,0,0
55,38.11,2078.23,0,2,0
16,88.11,1412.81,1,1,0
8,38.14,343.84,0,1,1
4,72.52,284.12,2,2,0
4,90.9,368.42,2,1,0
56,30.69,1743.03,0,2,0
25,76.73,1899.72,0,0,1
67,45.66,3004.93,0,0,0
67,116.29,7798.0,2,2,0
27,68.35,1870.29,0,1,0
32,100.6,3185.39,0,1,1
50,75.02,3767.89,0,4,1
61,24.34,1501.74,0,2,0
51,83.32,4192.23,0,1,1
19,115.14,2164.26,2,1,0
21,80.16,1673.49,0,1,1
5,101.92,505.1,0,2,1
42,108.42,4535.09,2,1,0
61,42.81,2591.36,2,3,0
22,41.2,948.29,0,0,0
21,81.1,1700.37,0,0,1
70,61.1,4259.82,0,4,1
1,103.99,102.96,2,2,0
5,110.0,563.44,0,2,1
12,55.34,665.4,2,1,0
46,43.69,2004.46,1,3,0
34,98.05,3317.54,0,3,1
49,47.48,2310.0,0,2,0
45,102.26,4586.82,0,0,0
27,62.37,1692.56,0,0,1
26,86.75,2230.78,0,0,1
47,29.55,1398.85,1,1,0
56,82.39,4648.94,2,0,0
63,65.18,4114.28,1,2,1
48,78.66,3766.48,1,0,0
61,36.8,2212.43,0,4,0
26,93.69,2475.32,0,0,1
36,106.28,3796.82,0,0,0
1,41.67,62.89,1,0,1
8,29.57,252.53,2,2,0
52,22.36,1157.0,1,0,0
47,84.2,3950.69,0,2,1
56,80.71,4473.83,0,1,1
14,74.67,1053.63,1,2,0
28,43.19,1224.95,0,1,0
2,59.09,90.95,2,2,1
26,79.45,2061.74,2,3,0
14,69.68,976.42,1,0,0
59,118.78,7022.55,0,3,0
56,33.64,1884.16,0,3,0
7,89.51,585.94,0,2,1
3,60.43,168.05,0,1,0
23,62.82,1450.47,0,1,0
18,91.76,1672.71,1,3,1
38,89.24,3375.82,1,2,0
15,119.13,1841.58,0,1,1
64,32.84,2054.36,0,2,0
28,30.41,837.41,0,0,1
39,92.43,3602.85,0,0,0
57,77.84,4431.79,2,3,0
17,47.42,775.27,0,1,0
44,27.94,1240.64,0,2,0
25,28.57,723.42,0,1,0
17,109.42,1861.32,2,1,0
13,39.19,517.72,1,1,0
25,52.34,1297.83,0,4,1
68,42.67,2860.83,0,0,0
10,55.5,537.08,1,1,0
67,26.94,1809.07,2,3,0
18,71.91,1298.38,0,0,0
34,26.76,910.92,2,1,0
8,100.04,814.0,2,1,0
40,43.37,1720.32,2,0,0
42,74.0,3108.72,1,3,0
41,108.01,4442.63,1,0,0
6,85.09,508.4,0,2,1
52,73.3,3780.3,1,0,0
26,52.43,1339.23,0,2,0
64,53.3,3431.98,1,1,0
59,86.95,5164.78,0,3,1
56,119.41,6716.56,1,3,1
59,86.18,5090.66,2,2,0
70,75.78,5274.41,0,3,0
33,93.07,3070.99,2,2,1
53,66.52,3564.65,0,1,0
22,26.01,587.78,2,0,0
21,76.23,1595.64,0,2,0
70,115.76,8119.09,0,0,1
70,37.53,2595.39,2,1,0
4,89.0,338.61,0,0,0
62,40.09,2458.68,2,0,0
62,73.58,4573.87,0,4,0
24,29.67,729.88,0,2,0
55,65.04,3573.19,0,0,0
9,95.62,838.72,1,3,0
3,54.76,163.78,0,0,0
31,86.49,2669.06,0,1,1
40,99.54,3961.9,0,2,1
36,112.72,4066.31,0,2,0
24,43.46,1024.19,2,1,0
6,59.93,320.43,2,4,0
66,35.24,2292.34,0,1,1
4,119.25,436.91,1,2,0
6,112.7,682.39,0,3,1
51,74.0,3777.54,1,0,0
62,104.2,6463.12,2,2,0
57,72.1,4124.15,2,1,0
66,82.36,5465.46,0,1,0
8,28.91,216.49,1,1,0
26,95.53,2493.87,0,1,1
51,32.77,1631.85,2,2,0
45,102.61,4651.77,0,2,0
44,98.2,4289.8,1,1,0
5,90.87,436.62,1,2,0
70,23.62,1638.18,1,3,0
26,50.31,1269.98,0,2,1
68,46.31,3149.98,2,2,0
19,56.01,1069.61,0,3,1
20,28.76,570.55,1,1,0
12,113.7,1325.84,0,1,0
47,75.38,3592.46,0,2,1
1,50.55,64.28,0,0,0
14,59.7,901.63,0,2,0
64,64.72,4121.97,0,0,0
38,80.06,3066.21,0,1,1
37,71.57,2667.5,0,0,0
11,111.94,1224.07,1,1,0
3,69.7,244.37,2,1,0
33,119.22,3923.99,0,2,1
6,105.14,621.83,0,1,1
50,40.85,1955.77,0,2,0
10,113.06,1140.82,0,1,1
5,31.64,125.05,1,2,0
23,101.74,2326.37,1,1,0
10,58.06,554.97,0,1,1
44,107.8,4733.93,0,1,0
2,106.81,224.71,0,2,0
13,100.59,1307.98,2,2,1
40,99.0,3977.86,2,0,0
2,50.47,132.58,0,1,0
65,28.09,1816.76,0,0,0
63,60.3,3786.81,2,4,0
17,37.35,658.93,2,1,0
9,89.5,831.38,0,2,1
15,54.61,837.66,0,1,0
24,117.56,2797.66,0,0,1
38,84.1,3206.26,1,0,0
35,102.25,3581.42,0,4,1
49,33.25,1655.68,0,0,0
69,106.2,7313.58,1,1,0
62,112.28,6919.43,0,2,0
60,68.71,4139.63,1,0,0
50,80.63,3967.31,0,0,0
9,96.48,850.04,0,3,1
34,37.48,1248.87,1,1,0
35,70.26,2433.23,0,0,1
1,59.87,41.14,2,2,0
40,34.64,1415.93,0,2,0
64,56.75,3652.73,0,3,0
22,26.82,583.69,1,0,0
60,22.58,1383.21,0,0,0
64,33.52,2118.51,2,0,0
11,116.31,1249.47,0,2,1
14,74.95,1070.93,0,1,1
60,116.58,7009.42,0,1,0
30,63.25,1885.99,0,1,1
35,51.18,1762.97,2,1,0
37,70.61,2649.22,2,1,0
5,63.95,276.75,0,0,1
26,30.57,779.77,0,0,0
62,84.08,5218.84,2,1,0
4,41.6,211.47,2,3,0
42,81.96,3451.85,0,0,0
18,85.02,1542.37,0,0,1
40,35.2,1393.86,0,1,0
39,26.13,1033.48,2,0,0
14,98.08,1375.7,0,0,1
32,65.98,2071.65,0,1,0
51,25.82,1336.46,1,2,0
38,119.49,4564.75,0,0,0
23,25.78,612.98,0,0,0
63,89.5,5639.56,0,5,1
15,118.37,1751.61,0,1,0
25,43.92,1040.22,0,0,0
17,34.22,585.75,0,0,0
66,32.14,2148.19,0,3,0
53,50.33,2692.25,1,0,0
